areaServicioDescripcion,observaciones,label_id,true_label_id,pred_label_id,confidence,true_label,pred_label,is_correct,prob_Arbolado Urbano,prob_Obras Públicas,prob_Higiene Urbana,prob_CLIBA (Higiene Urbana),prob_Alumbrado
Arbolado Urbano,desde el año 2018 solicito terminar vereda y hacer el raleo de raíces. ahora me está rompiendo mi casa. que tengo que hacer para que me puedan priorizar?,0,0,0,0.8913871,Arbolado Urbano,Arbolado Urbano,True,0.8913871,0.103710294,0.0009523855,0.0010446939,0.0029055304
Higiene Urbana,"pide que se retire de la puerta de su casa el contenedor, no es esquina. 2160 y 2162",2,2,2,0.6767023,Higiene Urbana,Higiene Urbana,True,0.0009657166,0.001378329,0.6767023,0.31937587,0.0015777743
Higiene Urbana,vecina informa que hace ya muchos días que el barrendero no pasa y que el año pasado casi ni lo vio.,2,2,2,0.9846191,Higiene Urbana,Higiene Urbana,True,0.00030386882,0.0014832959,0.9846191,0.012088957,0.001504797
CLIBA (Higiene Urbana),hace más de un mes que está la basura,3,3,3,0.868001,CLIBA (Higiene Urbana),CLIBA (Higiene Urbana),True,0.00047791295,0.0014144533,0.12802829,0.868001,0.002078275
Higiene Urbana,calle sin barrendero! colección de reclamos!,2,2,2,0.9750649,Higiene Urbana,Higiene Urbana,True,0.0018099159,0.0060964604,0.9750649,0.015523507,0.0015053289
Alumbrado,cuadra completa apagada.,4,4,4,0.99127334,Alumbrado,Alumbrado,True,0.0011626781,0.0007789629,0.0037199648,0.0030650648,0.99127334
CLIBA (Higiene Urbana),vecino pide recoleccion de poda ramas y troncos que se encuentra en su vereda,3,3,3,0.9850277,CLIBA (Higiene Urbana),CLIBA (Higiene Urbana),True,0.005827892,0.00042136782,0.008052863,0.9850277,0.00067026983
CLIBA (Higiene Urbana),susana chávez de villa adelina batalla la florida 1014 dni 11564744 se habían llevado un bolsón de escombros que la señora compro y paso cliba y se lo llevo pero es de ella y nunca pidió que se lo lleven la señora lo compro para llenar un pozo esto paso hace mas de dos semanas la señora había dejado sus datos para que se comuniquen con ella y todavía nadie se comunico 1155701954,3,3,3,0.9215332,CLIBA (Higiene Urbana),CLIBA (Higiene Urbana),True,0.00082417583,0.021874236,0.05443723,0.9215332,0.0013311479
Alumbrado,farola vandalizada,4,4,4,0.9935016,Alumbrado,Alumbrado,True,0.0020434933,0.002730159,0.00056891574,0.0011558462,0.9935016
Obras Públicas,ff,1,1,4,0.397536,Obras Públicas,Alumbrado,False,0.36115962,0.030789241,0.06700582,0.14350928,0.397536
Higiene Urbana,urgente boca de tormenta tapada x cemento x reparacion de calle,2,2,1,0.9396346,Higiene Urbana,Obras Públicas,False,0.0075661526,0.9396346,0.043415897,0.00233867,0.007044632
Alumbrado,no prende,4,4,4,0.98564863,Alumbrado,Alumbrado,True,0.008024294,0.0012055447,0.0026243671,0.0024972153,0.98564863
Arbolado Urbano,vecina solicita liberacion de luminaria que tiene una rama de fresno enroscada y tiene miedo que pueda llegar a hacer corto circuito,0,0,0,0.8536569,Arbolado Urbano,Arbolado Urbano,True,0.8536569,0.0014936484,0.00085164787,0.0037836635,0.14021416
Higiene Urbana,la vecina daiana gugliermo reclama que el camión de basura no esta pasando por guayaquil y perito moreno. nos informa que hace días que no pasa.,2,2,3,0.62027663,Higiene Urbana,CLIBA (Higiene Urbana),False,0.0005792972,0.0022517028,0.37582126,0.62027663,0.0010711104
CLIBA (Higiene Urbana),calle dorrego y san lorenzo martinez la vecina comenta que no se cumple con la limpieza periodica del tacho y se junta mucha mugre y los vecinos no paran de tirar y desparramar mugre,3,3,2,0.733567,CLIBA (Higiene Urbana),Higiene Urbana,False,0.0006114594,0.002345852,0.733567,0.26243713,0.0010384812
Alumbrado,apagado de noche hace dias,4,4,4,0.9940447,Alumbrado,Alumbrado,True,0.0015692037,0.0006511272,0.0017946045,0.0019405014,0.9940447
Alumbrado,farola apagada,4,4,4,0.9946543,Alumbrado,Alumbrado,True,0.0016693558,0.0011743583,0.00096363603,0.0015383417,0.9946543
Higiene Urbana,la vecina solicita urgente la limpieza de la puerta de su casa,2,2,2,0.5187664,Higiene Urbana,Higiene Urbana,True,0.003283631,0.012421468,0.5187664,0.46370968,0.0018188083
Alumbrado,ambas no funcionan ni alta ni baja,4,4,4,0.9898213,Alumbrado,Alumbrado,True,0.0015617599,0.0026416874,0.0013197422,0.004655362,0.9898213
Higiene Urbana,telofono,2,2,4,0.70371854,Higiene Urbana,Alumbrado,False,0.023382703,0.03119091,0.10316303,0.13854481,0.70371854
